; This Ascii PoiFile was generated on 29/07/2007 by PoiEdit, ©2002-2007 by Dnote Software (http://www.dnote.nl). All rights reserved.
2.68615, 49.1476, "[Cistercien nv] 60 Fontaine-Chaalis (Abbaye Royale de Chaalis)*"
-0.93289, 49.1975, "[Roman nv] 50 Cerisy-la-Forêt (Abbaye de Cerisy-la-Forêt)*"
2.4236, 46.7843, "[Roman nv] 18 Bruère Allichamps (Prieuré d'Allichamps)*"
-0.5838, 49.2576, "[Roman nv] 14 Rucqueville (Saint Pierre de Rucqueville)*"
-0.5838, 49.2576, "[Roman nv] 14 Rucqueville (Saint Pierre de Rucqueville)*"
-0.5647, 49.2767, "[Roman nv] 14 Saint Grabriel Brécy (Saint Grabriel Brécy)*"
1.7318, 44.919, "[Roman nv] 46 Carennac (Saint Pierre de Carennac)*"
4.7167, 46.3487, "[Roman nv] 71 Berzé-la-Ville (Chapelle de Berzé-la-Ville)*"
4.0445, 46.3516, "[Roman nv] 71 Montceaux-l'Etoile (Saints-Pierre-et-Paul de Montceaux-l'Etoile)*"
3.8882, 46.3448, "[Roman nv] 3 Neuilly-en-Donjon (Sainte-Marie-Madeleine de Neuilly-en-Donjon)*"
4.1722, 46.1587, "[Roman nv] 42 Charlieu (Saint-Fortunat de Charlieu)*"
4.06, 46.3198, "[Roman nv] 71 Anzy-le-Duc (Sainte Trinité d'Anzy-le-Duc)*"
4.2772, 46.4909, "[Roman nv] 71 Baron (Saint Nizier de Baron)*"
4.6041, 46.3943, "[Roman nv] 71 Mazille (Saint Blaise de Mazille)*"
4.1586, 46.3383, "[Roman nv] 71 Varenne l'Arconce (Saint-Pierre-aux-Liens de Varenne l'Arconce)*"
4.0778, 46.2062, "[Roman nv] 71 Iguérande (Saint-Marcel d'Iguérande)*"
4.6042, 46.4856, "[Roman nv] 71 Massy (Saint Denis de Massy)*"
4.2609, 46.3509, "[Roman nv] 71 Saint-Germain-en-Brionnais (Saint Germain de Saint-Germain-en-Brionnais)*"
4.0902, 46.2632, "[Roman nv] 71 Sémur-en-Brionnais (Saint-Hilaire de Sémur-en-Brionnais)*"
4.1425, 46.237, "[Roman nv] 71 Saint-Julien-de-Jonzy (Saint Julien de Saint-Julien-de-Jonzy)*"
3.7559, 47.2405, "[Roman nv] 58 Cervon (Saint-Barthelemy de Cervon)*"
3.111, 47.3661, "[Roman nv] 58 Donzy-le-Pré (Notre-Dame-du-Pré de Donzy-le-Pré)*"
3.5021, 47.2118, "[Roman nv] 58 Saint-Révérien (Saint-Révérien)*"
4.122, 46.1536, "[Gothique nv] 42 Saint-Nizier-sous-Charlieu (Couvent des Cordeliers)*"
0.2851, 45.8131, "[Roman nv] 16 Coulgens (Saint Jean-Baptiste de Coulgens)*"
0.10153, 45.6102, "[Roman nv] 16 La Couronne (Saint Jean-Baptiste de La Couronne)*"
0.1818, 45.613, "[Roman nv] 16 Puymoyen (Saint Vincent de Puymoyen)*"
