"Lieu";"Style";;"Type";"Nom";"Rank";"Département";"Source";"Lang";"Présentation";"URL"
"Poitiers";"Poitou roman";;;"Saint Hilaire";"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/poitierssh.htm"
"Nouaillé-Maupertuis";"Poitou roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/nouaille.htm"
"Aulnay-de-Saintonge";"Poitou roman";;;"Saint Pierre";"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/aulnay.htm"
"Poitiers";"Poitou roman";;;"Sainte Radegonde";"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/poitierssr.htm"
"Airvault";"Poitou roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/airvault.htm"
"Melle";"Poitou roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/melle.htm"
"Nevers";"Nivernais roman";;;"Saint Etienne";"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/nevers.htm"
"Donzy-le-pré";"Nivernais roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/donzy.htm"
"La Charité-sur-Loire";"Nivernais roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/charite.htm"
"Saint-Parize-le-Châtel";"Nivernais roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/stparize.htm"
"Tournus";"Bourgogne romane";;;"Saint Philibert";"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/tournus.htm"
"Anzy-le-Duc";"Bourgogne romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/anzy.htm"
"Chapaize";"Bourgogne romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/chapaize.htm"
"Autun";"Bourgogne romane";;"Cathédrale";;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/autun.htm"
"Berzé-la-Ville";"Bourgogne romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/berze.htm"
"Vézelay";"Bourgogne romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/vezelay/vezelay.htm"
"Morienval";"Ile-de-France romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/morienval.htm"
"Saint-Loup-de-Naud";"Ile-de-France romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/stloupdn.htm"
"Poncé-sur-le-Loir";"Maine roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/ponce.htm"
"Saint-Fraimbault";"Maine roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/stfraimbault.htm"
"Mont-Saint-Martin";"Lorraine romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/montstm.htm"
"Pompierre";"Lorraine romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/pompierre.htm"
"Champ-le-Duc";"Lorraine romane";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/champleduc.htm"
